Image Name,PID,Session Name,Session#,Mem Usage
RuntimeBroker.exe,11848,Console,1,"24,724 K"
WmiPrvSE.exe,8084,Services,0,"15,868 K"
BitTorrent.exe,12192,Console,1,"40,320 K"
bittorrentie.exe,3516,Console,1,"73,676 K"
bittorrentie.exe,14284,Console,1,"69,932 K"
svchost.exe,15644,Services,0,"15,420 K"
chrome.exe,2400,Console,1,"48,092 K"
bp.exe,11296,Console,1,"567,788 K"
conhost.exe,15320,Console,1,"9,164 K"
chrome.exe,12820,Console,1,"158,712 K"
cmd.exe,10188,Console,1,"2,524 K"
conhost.exe,4756,Console,1,"11,092 K"
chrome.exe,1332,Console,1,"39,264 K"
chrome.exe,12384,Console,1,"40,764 K"
chrome.exe,11628,Console,1,"41,076 K"
svchost.exe,16112,Services,0,"8,384 K"
svchost.exe,8348,Services,0,"5,864 K"
sedlauncher.exe,6716,Services,0,"4,068 K"
conhost.exe,15008,Services,0,536 K
Microsoft.Photos.exe,4932,Console,1,"145,220 K"
chrome.exe,12872,Console,1,"61,704 K"
notepad++.exe,10528,Console,1,"21,524 K"
notepad.exe,7972,Console,1,"12,896 K"
chrome.exe,6176,Console,1,"68,996 K"
svchost.exe,15956,Services,0,"6,100 K"
svchost.exe,16100,Services,0,"17,540 K"
dllhost.exe,15064,Console,1,"8,436 K"
chrome.exe,12808,Console,1,"57,176 K"
chrome.exe,9816,Console,1,"198,692 K"
chrome.exe,7720,Console,1,"245,816 K"
chrome.exe,14092,Console,1,"18,776 K"
chrome.exe,11304,Console,1,"66,204 K"
WUDFHost.exe,11068,Services,0,"10,060 K"
chrome.exe,13836,Console,1,"80,204 K"
chrome.exe,9624,Console,1,"71,328 K"
chrome.exe,13056,Console,1,"83,640 K"
audiodg.exe,15932,Services,0,"17,776 K"
EXCEL.EXE,13512,Console,1,"248,908 K"
chrome.exe,14076,Console,1,"82,184 K"
chrome.exe,4952,Console,1,"20,676 K"
cmd.exe,2652,Console,1,"3,272 K"
conhost.exe,7812,Console,1,"12,388 K"
tasklist.exe,14624,Console,1,"7,524 K"
